Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|010100|комплектация|изготовление|контроль|010101|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|060101|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010303|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010104|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010402|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль
Компенсатор тканевый|КТ.1408182.11.00|6||||0x108000407|1|0||6|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 26 мин.$Операции:$020;025||||Время: 13.1 мин.$Операции:$030|||||||||||||||||||
    Корпус|    КТ.1408182.11.03|6||||0x108000408|1|154.86||6|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||||||||||
        Кольцо|        КТ.1408182.11.03.004|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800063F|1|7.79||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000640|1|43.85||6|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.005|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000641|1|10.68||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.006|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000642|1|8.41||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.007|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000643|1|8.54||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.003|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000644|1|30.05||6|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Конус|        КТ.1408182.11.03.002|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000645|1|32.94||6|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.008|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000646|1|12.6||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Корпус|    КТ.1408182.11.04|6||||0x108000409|1|86.33||6|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||Время: 3.1 мин.$Операции:$015||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
        Кольцо|        КТ.1408182.11.03.008|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000647|1|12.6||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.04.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000648|1|38.3||6|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.004|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000649|1|7.79||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.005|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064A|1|10.68||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.006|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064B|1|8.41||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.007|6|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064C|1|8.54||12|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||Время: 3.1 мин.$Операции:$015||||||||||||Время: 13.1 мин.$Операции:$020||||||||||||||||||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка прижимная|    КТ.1408182.11.05|6||||0x10800040A|1|9.8||12|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||Время: 3.1 мин.$Операции:$015||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
