"pid","datname","usename","application_name","client_addr","client_port","state","connection_age","state_age","transaction_age","wait_event_type","wait_event","last_query"
47172,"postgres","postgres","mes_pg_cache","127.0.0.1",54314,"idle","6 days 05:34:41.730886","-00:00:00.182254",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
50260,"postgres","postgres","mes_pg_cache","127.0.0.1",54325,"idle","6 days 05:34:39.715163","00:00:06.701098",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
50568,"postgres","postgres","mes_pg_cache","127.0.0.1",54328,"idle","6 days 05:34:39.612943","00:00:19.559853",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
47668,"postgres","postgres","mes_pg_cache","127.0.0.1",54330,"idle","6 days 05:34:39.496454","00:00:08.388099",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
27596,"postgres","postgres","mes_pg_cache","127.0.0.1",54334,"idle","6 days 05:34:39.338498","00:00:08.310262",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
50896,"postgres","postgres","mes_pg_cache","127.0.0.1",54340,"idle","6 days 05:34:39.063431","00:00:03.984068",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
23144,"postgres","postgres","mes_pg_cache","127.0.0.1",54364,"idle","6 days 05:34:34.422377","00:00:00.778244",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
47184,"postgres","postgres","mes_pg_cache","127.0.0.1",54366,"idle","6 days 05:34:34.318411","00:00:01.102931",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
40072,"postgres","postgres","mes_pg_cache","127.0.0.1",54368,"idle","6 days 05:34:34.154834","00:00:00.591154",NULL,"Client","ClientRead","UPDATE admin_request_cache_meta SET invalidated_at = '2026-09-01 14:13:25', updated_at = '2026-09-01 14:13:25', notes = CASE WHEN notes = '' THEN 'invalidated:s.bolshakov:Sozdanie.py' ELSE notes END W"
50428,"postgres","postgres","mes_pg_cache","127.0.0.1",54372,"idle","6 days 05:34:34.107948","00:00:00.87335",NULL,"Client","ClientRead","UPDATE admin_request_cache_meta SET invalidated_at = '2026-09-01 14:13:24', updated_at = '2026-09-01 14:13:24', notes = CASE WHEN notes = '' THEN 'invalidated:s.bolshakov:Sozdanie.py' ELSE notes END W"
38864,"postgres","postgres","mes_pg_cache","127.0.0.1",54378,"active","6 days 05:34:33.79012","-00:00:00.213935","-00:00:00.213934","Client","ClientRead","UPDATE admin_request_cache_meta SET last_used_at = '2026-09-01 14:13:26', updated_at = '2026-09-01 14:13:26', last_verified_at = '2026-09-01 14:13:26' WHERE request_key = '5e71d1117cf0313ab23170295d6f"
50444,"postgres","postgres","mes_pg_cache","127.0.0.1",54382,"idle","6 days 05:34:33.345228","-00:00:00.19424",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
50656,"postgres","postgres","mes_pg_cache","127.0.0.1",54387,"idle","6 days 05:34:33.192488","00:00:00.826925",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
44828,"postgres","postgres","mes_pg_cache","127.0.0.1",54389,"idle","6 days 05:34:33.081297","00:00:00.009657",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
44496,"postgres","postgres","mes_pg_cache","127.0.0.1",54391,"idle","6 days 05:34:32.961746","00:00:02.664873",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.exchange')"
48732,"postgres","postgres","mes_pg_cache","127.0.0.1",54393,"idle","6 days 05:34:32.808554","00:00:01.083768",NULL,"Client","ClientRead","
        SELECT
            request_key,
            db_key,
            db_path,
            sql_text,
            params_json,
            options_json,
            body_hash,
            result_sta"
49096,"postgres","postgres","mes_pg_cache","127.0.0.1",54395,"idle","6 days 05:34:32.67613","-00:00:00.156415",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
46552,"postgres","postgres","mes_pg_cache","127.0.0.1",54408,"idle","6 days 05:34:30.887121","00:00:07.952268",NULL,"Client","ClientRead","INSERT INTO admin_request_cache_tables(request_key, table_key) VALUES ($1, $2) ON CONFLICT (request_key, table_key) DO NOTHING"
44088,"postgres","postgres","mes_pg_cache","127.0.0.1",54417,"idle","6 days 05:34:30.335746","00:00:11.734671",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
46724,"postgres","postgres","mes_pg_cache","127.0.0.1",54425,"idle","6 days 05:34:29.60123","00:00:10.99141",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
11152,"postgres","postgres","mes_pg_cache","127.0.0.1",54427,"idle","6 days 05:34:28.583197","00:00:01.251439",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
46964,"postgres","postgres","mes_pg_cache","127.0.0.1",54446,"idle","6 days 05:34:25.85574","00:00:11.738558",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
49808,"postgres","postgres","mes_pg_cache","127.0.0.1",54451,"idle","6 days 05:34:25.328927","00:00:09.993738",NULL,"Client","ClientRead","SELECT DISTINCT request_key FROM admin_request_cache_tables WHERE table_key IN ('BD_files.WidgetEvents')"
